number,address,block,lot
338,Sip Avenue,11901,25
55,Skillman Avenue,6304,14
234,South Street,2105,47
128,South Street,1508,29
124,South Street,1508,27
310,Stegman Parkway,23901,37
360,Stegman Parkway,23801,54
67,Stegman Street,25201,2
179,Stegman Street,25101,12
138,Stegman Street,25001,41
184,Stegman Street,25001,58
184.5,Stegman Street,25001,59
169,Sterling Avenue,24702,33
81,Sterling Avenue,25304,06
304 A,Stevens Avenue,25302,23
108,Storms Avenue,15004,F
64,Storms Avenue,15201,19
122,Storms Avenue,15004,36
120,Storms Avenue,15004,35
62,Storms Avenue,15201,18
105,Storms Avenue,15003,15
33,Suburbia Court,26701,14
204,Summit Avenue,15103,22
1123,Summit Avenue,805,11
702,Summit Avenue,5602,70
689,Summit Avenue,5502,17
29,Summit Avenue,17101,35
184,Summit Avenue,15302,15
169,Summit Avenue,15202,20
626,Summit Avenue,6701,23
1021,Summit Avenue,2705,18
283,Summit Avenue,13503,11
669,Summit Avenue,5503,13
696,Summit Avenue,5602,67
97,Summit Avenue,17002,20
77,Sussex Street,14402,04
233,Suydam Avenue,20304,40
30,Terhune Avenue,26902,18
80,Terhune Avenue,26201,51
28,Terhune Avenue,26902,17
32,Terrace Avenue,3304,15.01
320,Terrace Avenue,602,16
19,Thorne Street,2804,21
208,Thorne Street,02001,02
96,Tonnele Avenue,9405,11
634-636,Tonnele Avenue,2502,21
61,Tuers Avenue,13401,16
56,Union Street,19602,4
217,Union Street,19404,23
44,Union Street,19603,30
166,Union Street,19501,45
60,Union Street,19602,6
153,Van Horne Street,20101,69
116,Van Horne Street,19902,13
102,Van Horne Street,19902,7
153,Van Nostrand Avenue,26402,12
211,Van Nostrand Avenue,26401,4
18,Van Nostrand Avenue,25901,34
177,Van Nostrand Avenue,26402,2
277,Van Nostrand Avenue,25402,15
13,Van Nostrand Avenue,26602,27
154-156,Van Nostrand Avenue,25601,28
319,Van Nostrand Avenue,25402,4
77,Van Reypen Street,12101,31
146,Van Winkle Avenue,7808,16
246,Virginia Avenue,20602,75
175,Virginia Avenue,21002,4
159-159A,Virginia Avenue,21002,12
398,Virginia Avenue,20401,66
157,Virginia Avenue,21002,13
999,W Side Avenue,10402,9
13,Wade Street,26503,24
97,Wade Street,26404,05
127,Warner Avenue,27001,9
9,Warner Avenue,27201,19
79,Warner Avenue,27102,13
18,Warner Avenue,26503,38
37,Washburn Street,8205,11
25,Waverly Street,5803,10
83,Waverly Street,04901,27
54,Wayne Street,12901,22
11,Wayne Street,12903,7
199,Webster Avenue,2904,17
197,Webster Avenue,2904,18
271,Webster Avenue,2301,35
287,Webster Avenue,2302,45
58,Wegman Parkway,24102,67
217,Wegman Parkway,23401,19
63,Wegman Parkway,24103,6
127,Wegman Parkway,25001,31
61,Wegman Parkway,24103,7
29,Weldon Street,12007,18
349,West Side Avenue,21802,19
562,West Side Avenue,19301,1
130,West Side Avenue,24703,76
4,West Street,9604,11
10,West Street,9604,13
9,West Street,09605,03
8,West Street,09604,12
98,Western Avenue,2501,9
405,Westside Avenue,20803,38
288,Whiton Street,20301,5
381,Whiton Street,19001,5
322,Whiton Street,19005,25
302,Whiton Street,20301,12
297,Whiton Street,20005,4
332,Whiton Street,19005,30
288,Whiton Street,20301,5
401,Whiton Street,17506,10
98,Wilkinson Avenue,23501,54
222,Wilkinson Avenue,23405,40
164,Wilkinson Avenue,23501,84
163,Wilkinson Avenue,23502,9
109,Wilkinson Avenue,23502,35
141,Wilkinson Avenue,23502,19
46,Wilkinson Avenue,23602,17
211,Wilkinson Avenue,23404,22
10,Williams Avenue,20501,51
111,Winfield Avenue,29302,20
253,Winfield Avenue,28502,18.
158,Woodlawn Avenue,25603,32
162,Woodlawn Avenue,25603,34
31,Woodlawn Avenue,25902,13
27,Woodlawn Avenue,25902,14
101,Woodlawn Avenue,25802,4
83,Woodlawn Avenue,25802,13
15,Woodlawn Avenue,25902,19
156,Woodlawn Avenue,25603,31
161,Woodlawn Avenue,25602,13
127,Woodlawn Avenue,25702,8
93,Woodlawn Avenue,25802,09
28,Yale Avenue,20803,51
219,York Street,14103,5
263,York Street,14106,2
